화약,뇌관,암석분류,암종,SR SD,CR SD,최대입자속도
함수폭약,전기,화성암,화강암,84.29,59.6,0.1
함수폭약,전기,화성암,화강암,62.23,44.0,0.07
함수폭약,전기,화성암,화강암,79.48,56.2,0.05
함수폭약,전기,화성암,화강암,84.0,59.4,0.1
함수폭약,전기,화성암,화강암,80.61,57.0,0.05
함수폭약,전기,화성암,화강암,84.85,60.0,0.1
함수폭약,전기,화성암,화강암,59.68,42.2,0.25
함수폭약,전기,화성암,화강암,82.31,58.2,0.07
함수폭약,전기,화성암,화강암,80.89,57.2,0.1
함수폭약,전기,화성암,화강암,83.16,58.8,0.07
함수폭약,전기,화성암,화강암,69.71,51.68,0.1
함수폭약,전기,화성암,화강암,54.24,40.21,0.12
함수폭약,전기,화성암,화강암,66.51,49.31,0.07
함수폭약,전기,화성암,화강암,65.78,48.76,0.07
함수폭약,전기,화성암,화강암,67.25,49.86,0.05
함수폭약,전기,화성암,화강암,69.71,51.68,0.1
함수폭약,전기,화성암,화강암,66.76,49.49,0.1
함수폭약,전기,화성암,화강암,67.5,50.04,0.05
함수폭약,전기,화성암,화강암,67.74,50.22,0.05
함수폭약,전기,화성암,화강암,69.46,51.49,0.1
함수폭약,전기,화성암,화강암,68.72,50.95,0.07
함수폭약,전기,화성암,화강암,68.72,50.95,0.05
함수폭약,전기,화성암,화강암,68.72,50.95,0.05
함수폭약,전기,화성암,화강암,52.0,41.27,0.1
함수폭약,전기,화성암,화강암,51.8,41.11,0.07
함수폭약,전기,화성암,화강암,52.2,41.43,0.05
함수폭약,전기,화성암,화강암,52.2,41.43,0.1
함수폭약,전기,화성암,화강암,44.0,34.92,0.05
함수폭약,전기,화성암,화강암,52.4,41.59,0.05
함수폭약,전기,화성암,화강암,16.4,15.63,0.35
함수폭약,전기,화성암,화강암,15.01,14.31,0.78
함수폭약,전기,화성암,화강암,17.32,16.51,0.38
함수폭약,전기,화성암,화강암,24.6,23.44,0.68
함수폭약,전기,화성암,화강암,38.34,36.54,0.07
함수폭약,전기,화성암,화강암,25.4,24.21,0.165
함수폭약,전기,화성암,화강암,18.48,17.61,0.483
함수폭약,전기,화성암,화강암,28.0,22.22,0.2
함수폭약,전기,화성암,화강암,25.2,20.0,0.4
함수폭약,전기,화성암,화강암,29.6,23.49,0.2
함수폭약,전기,화성암,화강암,44.8,35.56,0.1
함수폭약,전기,화성암,화강암,68.0,53.97,0.05
함수폭약,전기,화성암,화강암,41.4,32.86,0.114
함수폭약,전기,화성암,화강암,33.6,26.67,0.17800000000000002
함수폭약,전기,화성암,화강암,28.4,22.54,0.1
함수폭약,전기,화성암,화강암,25.2,20.0,0.15
함수폭약,전기,화성암,화강암,29.6,23.49,0.22
함수폭약,전기,화성암,화강암,46.0,36.51,0.27
함수폭약,전기,화성암,화강암,68.4,54.29,0.07
함수폭약,전기,화성암,화강암,42.0,33.34,0.14
함수폭약,전기,화성암,화강암,33.0,26.19,0.273
함수폭약,전기,화성암,화강암,35.11,26.85,0.1
함수폭약,전기,화성암,화강암,25.94,19.84,0.2
함수폭약,전기,화성암,화강암,27.5,21.03,0.12
함수폭약,전기,화성암,화강암,50.54,38.65,0.17
함수폭약,전기,화성암,화강암,77.59,59.34,0.05
함수폭약,전기,화성암,화강암,38.01,29.07,0.095
함수폭약,전기,화성암,화강암,31.75,24.28,0.25
함수폭약,전기,화성암,화강암,33.99,25.99,0.25
함수폭약,전기,화성암,화강암,47.85,36.59,0.15
함수폭약,전기,화성암,화강암,46.51,35.57,0.45
함수폭약,전기,화성암,화강암,72.0,55.06,0.07
함수폭약,전기,화성암,화강암,60.82,46.51,0.064
함수폭약,전기,화성암,화강암,34.88,26.68,0.21600000000000003
함수폭약,전기,화성암,화강암,51.43,39.33,0.09699999999999999
함수폭약,전기,화성암,화강암,19.8,17.64,0.1
함수폭약,전기,화성암,화강암,16.55,14.74,0.3
함수폭약,전기,화성암,화강암,20.65,18.39,0.22
함수폭약,전기,화성암,화강암,49.78,44.35,0.05
함수폭약,전기,화성암,화강암,24.61,21.92,0.051
함수폭약,전기,화성암,화강암,24.04,21.42,0.08900000000000001
함수폭약,전기,화성암,화강암,28.28,25.2,0.052000000000000005
함수폭약,전기,화성암,화강암,21.5,19.15,0.1
함수폭약,전기,화성암,화강암,20.93,18.65,0.2
함수폭약,전기,화성암,화강암,22.63,20.16,0.2
함수폭약,전기,화성암,화강암,45.54,40.57,0.07
함수폭약,전기,화성암,화강암,33.38,29.73,0.064
함수폭약,전기,화성암,화강암,21.21,18.9,0.221
함수폭약,전기,화성암,화강암,33.94,30.24,0.071
