뇌관,암석분류,암종,SR SD,CR SD,최대입자속도
비전기,화성암,화강암,32.2,33.42,0.245
비전기,화성암,화강암,33.94,34.61,0.19699999999999998
비전기,화성암,화강암,36.1,36.1,0.157
비전기,화성암,화강암,36.0,36.0,0.102
비전기,화성암,화강암,36.0,36.0,0.129
비전기,화성암,화강암,29.39,31.45,0.252
비전기,화성암,화강암,54.47,56.53,0.07200000000000001
비전기,화성암,화강암,57.42,58.56,0.043
비전기,화성암,화강암,70.44,67.14,0.037000000000000005
비전기,화성암,화강암,60.9,60.9,0.057
비전기,화성암,화강암,60.9,60.9,0.047
비전기,화성암,화강암,49.72,53.2,0.08
비전기,화성암,화강암,76.74,79.65,0.065
비전기,화성암,화강암,99.07,94.44,0.028999999999999998
비전기,화성암,화강암,99.07,94.44,0.027000000000000003
비전기,화성암,화강암,99.19,94.55,0.022000000000000002
비전기,화성암,화강암,85.8,85.8,0.03
비전기,화성암,화강암,85.8,85.8,0.018000000000000002
비전기,화성암,화강암,99.1,102.86,0.062
비전기,화성암,화강암,99.1,102.86,0.036000000000000004
비전기,화성암,화강암,110.8,110.8,0.033
비전기,화성암,화강암,110.8,110.8,0.017
비전기,화성암,화강암,110.8,110.8,0.023
비전기,화성암,화강암,90.47,96.79,0.039
비전기,화성암,화강암,121.37,125.97,0.048
비전기,화성암,화강암,156.69,149.36,0.016
비전기,화성암,화강암,156.69,149.36,0.02
비전기,화성암,화강암,135.7,135.7,0.028999999999999998
비전기,화성암,화강암,135.7,135.7,0.012
비전기,화성암,화강암,110.8,118.54,0.03
비전기,화성암,화강암,407.01,362.61,0.003
비전기,화성암,화강암,397.39,354.04,0.004
비전기,화성암,화강암,412.38,367.39,0.005
비전기,화성암,화강암,337.4,321.61,0.004
비전기,화성암,화강암,323.09,307.96,0.006999999999999999
비전기,화성암,화강암,415.61,363.82,0.006999999999999999
비전기,화성암,화강암,471.22,419.81,0.004
비전기,화성암,화강암,472.49,420.94,0.003
비전기,화성암,화강암,376.43,358.81,0.004
비전기,화성암,화강암,375.16,357.6,0.004
비전기,화성암,화강암,409.33,383.38,0.004
비전기,화성암,화강암,504.16,441.34,0.003
비전기,화성암,화강암,59.7,56.9,0.105
비전기,화성암,화강암,72.27,64.38,0.10099999999999999
비전기,화성암,화강암,63.5,56.57,0.11699999999999999
비전기,화성암,화강암,51.04,48.65,0.16399999999999998
비전기,화성암,화강암,50.46,48.1,0.16
비전기,화성암,화강암,54.77,51.3,0.14400000000000002
비전기,화성암,화강암,111.58,99.41,0.025
비전기,화성암,화강암,115.97,103.31,0.024
비전기,화성암,화강암,112.43,100.16,0.031
비전기,화성암,화강암,94.8,90.36,0.025
비전기,화성암,화강암,85.68,81.67,0.031
비전기,화성암,화강암,96.89,90.74,0.027999999999999997
비전기,화성암,화강암,136.2,127.56,0.013000000000000001
비전기,화성암,화강암,136.32,127.68,0.02
비전기,화성암,화강암,138.51,129.73,0.012
비전기,화성암,화강암,140.7,131.78,0.011000000000000001
비전기,화성암,화강암,175.01,153.2,0.009000000000000001
비전기,화성암,화강암,175.16,153.33,0.008
비전기,화성암,화강암,30.4,24.13,0.22899999999999998
비전기,화성암,화강암,30.4,24.13,0.317
비전기,화성암,화강암,28.0,22.22,0.267
비전기,화성암,화강암,28.0,22.22,0.305
비전기,화성암,화강암,28.0,22.22,0.762
비전기,화성암,화강암,28.0,22.22,0.698
비전기,화성암,화강암,19.38,16.96,0.889
비전기,화성암,화강암,40.0,31.75,0.13699999999999998
비전기,화성암,화강암,40.0,31.75,0.268
비전기,화성암,화강암,38.0,30.16,0.24100000000000002
비전기,화성암,화강암,38.0,30.16,0.243
비전기,화성암,화강암,38.0,30.16,0.32899999999999996
비전기,화성암,화강암,38.0,30.16,0.33
비전기,화성암,화강암,26.83,23.49,0.386
비전기,화성암,화강암,50.0,39.69,0.11699999999999999
비전기,화성암,화강암,50.0,39.69,0.151
비전기,화성암,화강암,48.0,38.1,0.135
비전기,화성암,화강암,48.0,38.1,0.129
비전기,화성암,화강암,48.0,38.1,0.24
비전기,화성암,화강암,48.0,38.1,0.221
비전기,화성암,화강암,34.29,30.01,0.259
비전기,화성암,화강암,55.0,43.65,0.163
비전기,화성암,화강암,55.0,43.65,0.038
비전기,화성암,화강암,52.0,41.27,0.115
비전기,화성암,화강암,52.0,41.27,0.109
비전기,화성암,화강암,52.0,41.27,0.185
비전기,화성암,화강암,52.0,41.27,0.24100000000000002
비전기,화성암,화강암,37.27,32.62,0.182
비전기,화성암,화강암,59.0,46.83,0.14400000000000002
비전기,화성암,화강암,59.0,46.83,0.054000000000000006
비전기,화성암,화강암,56.0,44.45,0.122
비전기,화성암,화강암,56.0,44.45,0.111
비전기,화성암,화강암,56.0,44.45,0.163
비전기,화성암,화강암,56.0,44.45,0.203
비전기,화성암,화강암,40.25,35.23,0.156
비전기,화성암,화강암,101.4,80.48,0.023
비전기,화성암,화강암,101.4,80.48,0.013000000000000001
비전기,화성암,화강암,96.0,76.2,0.025
비전기,화성암,화강암,96.0,76.2,0.038
비전기,화성암,화강암,96.0,76.2,0.051
비전기,화성암,화강암,96.0,76.2,0.08199999999999999
비전기,화성암,화강암,70.06,61.33,0.062
비전기,화성암,화강암,106.6,84.61,0.027000000000000003
비전기,화성암,화강암,106.6,84.61,0.021
비전기,화성암,화강암,104.0,82.54,0.032
비전기,화성암,화강암,104.0,82.54,0.035
비전기,화성암,화강암,104.0,82.54,0.038
비전기,화성암,화강암,104.0,82.54,0.048
비전기,화성암,화강암,76.03,66.55,0.038
비전기,화성암,화강암,129.0,102.39,0.019
비전기,화성암,화강암,129.0,102.39,0.011000000000000001
비전기,화성암,화강암,126.0,100.01,0.021
비전기,화성암,화강암,126.0,100.01,0.024
비전기,화성암,화강암,126.0,100.01,0.03
비전기,화성암,화강암,126.0,100.01,0.028999999999999998
비전기,화성암,화강암,92.42,80.91,0.031
비전기,화성암,화강암,29.02,25.63,0.252
비전기,화성암,화강암,21.94,20.91,0.37200000000000005
비전기,화성암,화강암,21.91,20.52,0.175
비전기,화성암,화강암,29.7,26.46,0.18899999999999997
비전기,화성암,화강암,36.27,32.04,0.44
비전기,화성암,화강암,27.71,26.42,0.613
비전기,화성암,화강암,27.99,26.22,0.252
비전기,화성암,화강암,36.77,32.76,0.377
비전기,화성암,화강암,58.04,51.27,0.1
비전기,화성암,화강암,45.03,42.93,0.134
비전기,화성암,화강암,46.25,43.32,0.081
비전기,화성암,화강암,57.98,51.66,0.07200000000000001
비전기,화성암,화강암,71.1,62.8,0.09300000000000001
비전기,화성암,화강암,55.43,52.83,0.08800000000000001
비전기,화성암,화강암,57.21,53.58,0.035
비전기,화성암,화강암,70.71,63.0,0.042
비전기,화성암,화강암,74.0,65.36,0.08199999999999999
비전기,화성암,화강암,57.74,55.03,0.067
비전기,화성암,화강암,59.64,55.86,0.044000000000000004
비전기,화성암,화강암,73.54,65.52,0.042
비전기,화성암,화강암,72.55,64.08,0.09300000000000001
비전기,화성암,화강암,56.58,53.93,0.11
비전기,화성암,화강암,58.42,54.72,0.068
비전기,화성암,화강암,72.12,64.26,0.07400000000000001
비전기,화성암,화강암,87.06,76.9,0.084
비전기,화성암,화강암,68.13,64.94,0.134
비전기,화성암,화강암,70.6,66.12,0.07200000000000001
비전기,화성암,화강암,86.27,76.86,0.07
비전기,화성암,화강암,101.57,89.72,0.086
비전기,화성암,화강암,79.67,75.94,0.09300000000000001
비전기,화성암,화강암,82.77,77.52,0.053
비전기,화성암,화강암,100.41,89.45,0.055999999999999994
비전기,화성암,화강암,116.08,102.53,0.044000000000000004
비전기,화성암,화강암,91.22,86.95,0.052000000000000005
비전기,화성암,화강암,94.94,88.92,0.026000000000000002
비전기,화성암,화강암,114.55,102.05,0.023
비전기,화성암,화강암,145.1,128.16,0.055999999999999994
비전기,화성암,화강암,114.32,108.96,0.08900000000000001
비전기,화성암,화강암,119.28,111.72,0.032
비전기,화성암,화강암,142.84,127.25,0.025
비전기,화성암,화강암,271.33,239.67,0.015
비전기,화성암,화강암,214.77,204.72,0.012
비전기,화성암,화강암,225.17,210.9,0.006999999999999999
비전기,화성암,화강암,265.87,236.87,0.006999999999999999
비전기,화성암,화강암,30.89,27.33,2.16
비전기,화성암,화강암,30.04,25.79,2.93
비전기,화성암,화강암,34.93,30.91,1.071
비전기,화성암,화강암,47.78,42.27,0.266
비전기,화성암,화강암,52.34,44.92,0.447
비전기,화성암,화강암,48.21,42.66,0.325
비전기,화성암,화강암,70.58,62.45,0.098
비전기,화성암,화강암,77.32,66.37,0.127
비전기,화성암,화강암,71.01,62.84,0.078
비전기,화성암,화강암,96.42,85.32,0.076
비전기,화성암,화강암,105.62,90.66,0.081
비전기,화성암,화강암,96.71,85.57,0.081
비전기,화성암,화강암,187.35,165.78,0.017
비전기,화성암,화강암,205.55,176.44,0.019
비전기,화성암,화강암,187.21,165.65,0.012
비전기,화성암,화강암,217.37,192.34,0.017
비전기,화성암,화강암,238.44,204.67,0.017
비전기,화성암,화강암,217.23,192.22,0.013000000000000001
비전기,화성암,화강암,236.42,209.2,0.012
비전기,화성암,화강암,259.15,222.45,0.009000000000000001
비전기,화성암,화강암,236.14,208.95,0.009000000000000001
비전기,화성암,화강암,261.68,231.55,0.013999999999999999
비전기,화성암,화강암,287.13,246.47,0.017
비전기,화성암,화강암,261.54,231.43,0.017
비전기,화성암,화강암,279.29,247.13,0.034
비전기,화성암,화강암,306.42,263.03,0.034
비전기,화성암,화강암,279.0,246.88,0.034
비전기,화성암,화강암,58.75,51.98,0.12
비전기,화성암,화강암,62.61,53.75,0.271
비전기,화성암,화강암,60.48,53.51,0.129
비전기,화성암,화강암,205.54,181.87,0.044000000000000004
비전기,화성암,화강암,224.21,192.45,0.024
비전기,화성암,화강암,206.26,182.51,0.02
비전기,화성암,화강암,82.71,61.5,0.35
비전기,화성암,화강암,72.98,54.26,0.66
비전기,화성암,화강암,46.22,34.37,0.63
비전기,화성암,화강암,34.06,25.32,1.19
비전기,화성암,화강암,51.08,37.98,0.6
비전기,화성암,화강암,82.71,61.5,0.1
비전기,화성암,화강암,75.41,56.07,0.43
비전기,화성암,화강암,72.98,54.26,0.6
비전기,화성암,화강암,53.52,39.79,0.3
비전기,화성암,화강암,38.92,28.94,0.96
비전기,화성암,화강암,41.35,30.75,0.88
비전기,화성암,화강암,51.08,37.98,0.295
비전기,화성암,화강암,79.02,62.72,0.25
비전기,화성암,화강암,89.6,71.12,0.2
비전기,화성암,화강암,78.0,61.91,0.27
비전기,화성암,화강암,83.6,66.35,0.27
비전기,화성암,화강암,94.8,75.24,0.2
비전기,화성암,화강암,76.8,60.96,0.33
비전기,화성암,화강암,101.4,80.48,0.15
비전기,화성암,화강암,97.42,77.32,0.25
비전기,화성암,화강암,103.2,81.91,0.2
비전기,화성암,화강암,105.0,83.34,0.2
